service_id,provider,service_name,context,category,free_tier,free_tier_type,free_tier_description
azure-app-service,Azure,App Service,Quickly create powerful cloud apps for web and mobile.,"Compute, Web, Mobile",Yes,Always,Up to 10 web or API apps with 1 GB storage and 1 hour per day
azure-quantum,Azure,Azure Quantum,"Jump in and explore a diverse selection of today's quantum hardware, software, and solutions.",Compute,No,No free tier type,No free tier available
azure-compute-fleet,Azure,Azure Compute Fleet,Easily provision and manage Azure compute capacity at scale.,Compute,No,No free tier type,No free tier available
azure-spring-apps,Azure,Azure Spring Apps,"Azure Spring Apps is a fully managed service that helps Spring developers focus on code, not on infrastructure. Deploy any type of Spring app—including web apps, microservices, event-driven, serverless, and batch—without the need for Kubernetes.",Compute,No,No free tier type,No free tier available
azure-batch,Azure,Batch,Cloud-scale job scheduling and compute management.,Compute,Yes,Always,Free
azure-linux-virtual-machines,Azure,Linux Virtual Machines,"Provision virtual machines for Ubuntu, Red Hat, and more.",Compute,No,No free tier type,No free tier available
azure-static-web-apps,Azure,Static Web Apps,A modern web app service that offers streamlined full-stack development from source code to global high availability.,"Compute, Web",Yes,Always,"100 GB bandwidth per subscription, 2 custom domains and .5 GB storage per app"
azure-virtual-machines,Azure,Virtual Machines,Provision Windows and Linux virtual machines in seconds.,Compute,Yes,Always,"For Linux can 750 hours each of B1s, B2pts v2 (Arm-based), and B2ats v2 (AMD-based) burstable VMs. While for Windows can 750 hours each of B1s, B2pts v2 (Arm-based), and B2ats v2 (AMD-based) burstable VMs."
azure-dedicated-host,Azure,Azure Dedicated Host,A dedicated physical server to host your Azure VMs for Windows and Linux.,Compute,No,No free tier type,No free tier available
azure-kubernetes-service-aks,Azure,Azure Kubernetes Service (AKS),"Azure Kubernetes Service (AKS) is a fully managed Kubernetes service that simplifies cluster management and reduces operational overhead. It offers autoscaling for seamless application scaling, enterprise-grade security features, and integration with popular development tools and CI/CD pipelines. AKS ensures high availability with SLA-backed uptime, continuous backups, and automatic maintenance. Additionally, it has a global reach, providing low latency and high performance for applications.","Compute, Containers",Yes,Always,AKS cluster management is free you’ll incur a charge for resources consumed by nodes
azure-container-instances,Azure,Container Instances,Easily run containers on Azure without managing servers.,Compute,No,No free tier type,No free tier available
azure-cyclecloud,Azure,Azure CycleCloud,"Create, manage, operate and optimise HPC and big compute clusters of any scale.",Compute,No,No free tier type,No free tier available
azure-spot-virtual-machines,Azure,Azure Spot Virtual Machines,Provision unused compute capacity at deep discounts to run interruptible workloads.,Compute,No,No free tier type,No free tier available
azure-vmware-solution,Azure,Azure Vmware Solution,Run your VMware workloads natively on Azure.,Compute,No,No free tier type,No free tier available
azure-cloud-services,Azure,Cloud Services,"Create highly-available, infinitely-scalable cloud applications and APIs",Compute,No,No free tier type,No free tier available
azure-sql-server-on-azure-virtual-machines,Azure,SQL Server on Azure Virtual Machines,Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO),"Compute, Database",No,No free tier type,No free tier available
azure-virtual-machines-scale-sets,Azure,Virtual Machines Scale Sets,Manage and scale up to thousands of Linux and Windows VMs.,Compute,No,No free tier type,No free tier available
azure-virtual-desktop,Azure,Azure Virtual Desktop,"Enable a secure, remote desktop experience from anywhere.","Compute, Virtual Desktop Infrastructure",No,No free tier type,No free tier available
azure-vm-image-builder,Azure,Azure VM Image Builder,Simplify your image building process with easy to use tool.,Compute,No,No free tier type,No free tier available
azure-functions,Azure,Azure Functions,"Azure Functions is a serverless solution that allows you to build robust apps while using less code, and with less infrastructure and lower costs. Instead of worrying about deploying and maintaining servers, you can use the cloud infrastructure to provide all the up-to-date resources needed to keep your applications running.","Compute, Containers, Internet of Things",Yes,Always,1 million requests
azure-service-fabric,Azure,Service Fabric,Develop microservices and orchestrate containers on Windows or Linux.,Compute,Yes,Always,Free
azure-ai-anomaly-detector,Azure,AI Anomaly Detector,Easily add anomaly detection capabilities to your apps,AI + Machine Learning,Yes,Always,"20,000 transactions of free tier"
azure-ai-bot-service,Azure,Azure AI Bot Service,create bots and connect them across channels,AI + Machine Learning,Yes,Always,"10,000 premium channel messages and unlimited standard channel messages"
azure-ai-search,Azure,Azure AI Search ,Enterprise scale search for app development,"AI + Machine Learning, Web, Mobile",Yes,Always,"50 MB storage for 10,000 hosted documents and 3 indexes per service"
azure-databricks,Azure,Azure Databricks,Design AI with Apache Spark-based analytics,"AI + Machine Learning, Analytics",No,No free tier type,No free tier available
azure-machine-learning,Azure,Azure Machine Learning,Use an enterprise-grade service for the end-to-end machine learning lifecycle,"AI + Machine Learning, Internet of Things",Yes,Always,Free
azure-open-datasets,Azure,Azure Open Datasets,Cloud platform to host and share curated open datasets to accelerate development of machine learning models,AI + Machine Learning,Yes,Always,Free (egress charges may apply)
azure-ai-services,Azure,Azure AI Services,Add cognitive capabilities to apps with APIs and AI services.,"AI + Machine Learning, Mobile",No,No free tier type,No free tier available
azure-ai-video-indexer,Azure,Azure AI Video Indexer,Easily extract meaningful insight from audio and video files using media AI.,AI + Machine Learning,No,No free tier type,No free tier available
azure-ai-custom-vision,Azure,Azure AI Custom Vision,Easily customize your own state-of-the-art computer vision models for your unique use case,AI + Machine Learning,Yes,12 Months,"10,000 predictions S0 tier, one training hour, two projects with 5,000 training images each"
azure-data-science-virtual-machines,Azure,Data Science Virtual Machines,Rich pre-configured environment for AI development,AI + Machine Learning,No,No free tier type,No free tier available
azure-language-understanding-luis,Azure,Language Understanding (LUIS),Teach your apps to understand commands from your users.,AI + Machine Learning,Yes,12 Months,"10,000 text request transactions S0 tier"
azure-ai-language,Azure,Azure AI Language,Add natural language capabilities with a single API call.,AI + Machine Learning,Yes,Always,"5,000 text records"
azure-ai-translator,Azure,Azure AI Translator ,Easily conduct machine translation with a simple REST API call.,AI + Machine Learning,Yes,Always,2 million characters free tier
azure-ai-metrics-advisor,Azure,Azure AI Metrics Advisor ,An AI service that monitors metrics and diagnoses issues.,AI + Machine Learning,Yes,Always,Up to 25 time series of standard tier
azure-openai-service,Azure,Azure OpenAI Service,Apply advanced coding and language models to a variety of use cases.,AI + Machine Learning,No,No free tier type,No free tier available
azure-ai-personalizer,Azure,Azure AI Personalizer ,"Deliver personalized, relevant experiences for each of your users.",AI + Machine Learning,Yes,12 Months,"50,000 transactions S0 tier"
azure-ai-content-safety,Azure,Azure AI Content Safety,"Detects and moderation of harmful user-generated and AI-generated content in text, images, and multimodal content",AI + Machine Learning,Yes,Always,"5,000 text records or 5,000 images of free tier"
azure-health-bot,Azure,Health Bot,A managed service purpose-built for development of virtual healthcare assistants.,AI + Machine Learning,Yes,Always,"3,000 messages (up to 10 messages per second)"
azure-ai-document-intelligence,Azure,Azure AI Document Intelligence,Automate document processing and data extraction with AI.,AI + Machine Learning,Yes,12 Months,500 pages S0 tier
azure-ai-foundry,Azure,Azure AI Foundry,"Deploy custom AI solutions, models, and generative AI copilot systems from a centralized Microsoft Development Hub",AI + Machine Learning,No,No free tier type,No free tier available
azure-ai-immersive-reader,Azure,Azure AI Immersive Reader,Empower users of all ages and abilities to read and comprehend text,AI + Machine Learning,Yes,Always,3 million characters
azure-ai-foundry-models,Azure,Azure AI Foundry Models,Empowering you to find the best model for every use case,AI + Machine Learning,No,No free tier type,No free tier available
azure-ai-speech,Azure,Azure AI Speech,"powerful service that enables applications to process and generate speech in various ways. Here are some of its key features such as speech-to-text, text-to-speech, speech translation, speaker recognition, custom neural voice, and multimodal AI apps.",AI + Machine Learning,Yes,Always,"for speaker recognition can 10,000 transactions each of speaker verification, speaker identification, and voice profile storage. While for speech to text can 5 audio hours each of Standard, Custom, and Conversation Transcription Multichannel Audio, 1 Custom endpoint hosting model. while for speech translation can 5 audio hours Standard. while for text to speech can 0.5 million neural characters per month."
azure-ai-vision,Azure,Azure AI Vision,"Analyze images, read text, and detect faces with vision AI-powered capabilities",AI + Machine Learning,Yes,12 Months,"5,000 transactions for each S1, S2, and S3 tier"
azure-kinect-dk,Azure,Kinect DK,Build for mixed reality using AI sensors,AI + Machine Learning,No,No free tier type,No free tier available
azure-phi-open-models,Azure,Phi Open Models,"A family of powerful, small language model (SLMs) with groundbreaking performance at low cost and low latency",AI + Machine Learning,No,No free tier type,No free tier available
microsoft-security-copilot,Azure,Microsoft Security Copilot,Protect at the speed and scale of AI with a generative AI-powered assistant.,"AI + Machine Learning, Security",No,No free tier type,No free tier available
azure-app-configuration,Azure,App Configuration,"Fast, scalable parameter storage for app configuration","Security, Developer Tools, Web, Containers",Yes,Always,"1,000 requests per day with 10 MB storage"
microsoft-entra-domain-services,Azure,Microsoft Entra Domain Services,Manage your domain controllers in the cloud,Security,No,No free tier type,No free tier available
microsoft-defender-for-cloud,Azure,Microsoft Defender for Cloud,Protect your multi-cloud and hybrid environments.,"Security, Hybrid + Multicloud",No,No free tier type,No free tier available
defender-external-attack-surface-management,Azure,Defender External Attack Surface Management,Safeguard the digital experience by discovering all internet-exposed resources with Microsoft Defender External Attack Surface Management (EASM),"Security, Management, governance",No,No free tier type,No free tier available
azure-bastion,Azure,Azure Bastion,Azure Bastion is a fully managed service that provides more secure and seamless Remote Desktop Protocol (RDP) and Secure Shell Protocol (SSH) access to virtual machines (VMs) without exposure through public IP addresses.,"Security, Network",No,No free tier type,No free tier available
azure-ddos-protection,Azure,Azure DDoS Protection,Protect your Azure resources from Distributed Denial-of-Service (DDoS) attacks.,Security,No,No free tier type,No free tier available
azure-dedicated-hsm,Azure,Azure Dedicated HSM,Manage hardware security modules that you use in the cloud.,Security,No,No free tier type,No free tier available
azure-firewall,Azure,Azure Firewall,Protect your Azure Virtual Network resources with cloud-native network security.,"Security, Network",No,No free tier type,No free tier available
azure-firewall-manager,Azure,Azure Firewall Manager,"Central network security policy and route management for globally distributed, software-defined perimeters.","Security, Network",No,No free tier type,No free tier available
azure-front-door,Azure,Azure Front Door,Modern cloud CDN that delivers optimized experiences to your users anywhare.,"Security, Network",No,No free tier type,No free tier available
azure-information-protection,Azure,Azure Information Protection,"Better protect your sensitive information-anytime, anywhere.",Security,No,No free tier type,No free tier available
microsoft-sentinel,Azure,Microsoft Sentinel,Cloud-native Security Information Event Management (SIEM) and intelligent security analytics,"Security, Hybrid + Multicloud",No,No free tier type,No free tier available
azure-key-vault,Azure,Key Vault,Safeguard and maintain control of keys and other secrets.,Security,Yes,12 Months,"10,000 transactions RSA 2048-bit keys or secret operations, Standard tier"
